Election Year,Position,Name,Votes,Votes %,Party,AC name,AC No
2005-Feb,6,Vijay Sinha,1480,1.60%,Independent,Bakhtiarpur,180
2005-Feb,7,Ranjeet Kumar,1292,1.40%,Independent,Bakhtiarpur,180
2005-Feb,8,Anil Kumar,927,1.00%,Samata Party,Bakhtiarpur,180
2005-Feb,9,Vijendra Ravidas,607,0.70%,Independent,Bakhtiarpur,180
2005-Feb,10,Kumar Raj Manoranjan Singh,605,0.70%,Independent,Bakhtiarpur,180
2005-Feb,11,Manoj Kumar,568,0.60%,Apna Dal,Bakhtiarpur,180
2005-Feb,12,Shailendra Kumar,519,0.60%,Jai Jawan Jai Kisan Mazdoor Congress,Bakhtiarpur,180
2005-Feb,13,Praivindra Kumar,391,0.40%,Independent,Bakhtiarpur,180
2005-Feb,14,Kamla Prasad,345,0.40%,Independent,Bakhtiarpur,180
2005-Feb,15,Kaushal Kumar Kaushalandra Sinha,343,0.40%,Independent,Bakhtiarpur,180
2005-Feb,16,Harendra Prasad,313,0.40%,Samajwadi Party,Bakhtiarpur,180
2005-Feb,17,Anjani Kumar,295,0.30%,Independent,Bakhtiarpur,180
2005-Feb,1,Harinarayan Singh,32767,47.10%,Janata Dal (United),Digha,181
2005-Feb,2,Anil Singh,19244,27.70%,Rashtriya Janata Dal,Digha,181
2005-Feb,3,Arun Kumar,5692,8.20%,Indian National Congress,Digha,181
2005-Feb,4,Viresh Kumar,4191,6.00%,Bahujan Samaj Party,Digha,181
2005-Feb,5,Parmanand Prasad,2785,4.00%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Digha,181
2005-Feb,6,Mithlesh Kumar,2036,2.90%,Independent,Digha,181
2005-Feb,7,Santosh Kumar,1040,1.50%,Independent,Digha,181
2005-Feb,8,Pranav Dev Anand,561,0.80%,Independent,Digha,181
2005-Feb,9,Arjun Prasad,455,0.70%,Independent,Digha,181
2005-Feb,10,Ramshish Prasad,391,0.60%,Independent,Digha,181
2005-Feb,11,Ram Keval Kumar,361,0.50%,Apna Dal,Digha,181
2005-Feb,1,Sunil Kumar,45909,58.50%,Janata Dal (United),Bankipur,182
2005-Feb,2,Sudhir Kumar,10962,14.00%,Lok Jan Shakti Party,Bankipur,182
2005-Feb,3,Upendra Kumar Singh,8938,11.40%,Rashtriya Janata Dal,Bankipur,182
2005-Feb,4,Sita Sharan Bind,3831,4.90%,Bahujan Samaj Party,Bankipur,182
2005-Feb,5,Arun Kumar Singh,2054,2.60%,Independent,Bankipur,182
2005-Feb,6,Vishwa Mohan Chowdhary,1826,2.30%,Rashtriya Lok Dal,Bankipur,182
2005-Feb,7,Jitendra Kumar,992,1.30%,Samajwadi Party,Bankipur,182
2005-Feb,8,Surendra Prasad Akela,678,0.90%,Independent,Bankipur,182
2005-Feb,9,Sindhu Devi,651,0.80%,Independent,Bankipur,182
2005-Feb,10,Arun Kumar,649,0.80%,Independent,Bankipur,182
2005-Feb,11,Jai Na. P. Sinha,568,0.70%,Independent,Bankipur,182
2005-Feb,12,Amar Kant Paswan,429,0.60%,Independent,Bankipur,182
2005-Feb,13,Avdhesh Kumar Nirala,288,0.40%,Independent,Bankipur,182
2005-Feb,14,Ranjit Kumar,261,0.30%,Independent,Bankipur,182
2005-Feb,15,Sury Prakash Purshiyarthi,249,0.30%,Independent,Bankipur,182
2005-Feb,16,Rakesh Kumar,229,0.30%,Apna Dal,Bankipur,182
2005-Feb,1,Anant Kumar Singh,35783,37.00%,Janata Dal (United),Kumhrar,183
2005-Feb,2,Nalini Ranjan Sharma,33914,35.00%,Lok Jan Shakti Party,Kumhrar,183
2005-Feb,3,Shyam Sundar Singh,9774,10.10%,Rashtriya Janata Dal,Kumhrar,183
2005-Feb,4,Mithilesh Yadav,5490,5.70%,Independent,Kumhrar,183
2005-Feb,5,Bihari Mahto,4820,5.00%,Bahujan Samaj Party,Kumhrar,183
2005-Feb,6,Vinay Kumar,2414,2.50%,Independent,Kumhrar,183
2005-Feb,7,Anjani Kumar Sinha,1141,1.20%,Independent,Kumhrar,183
2005-Feb,8,Mithlesh Paswan,988,1.00%,Independent,Kumhrar,183
2005-Feb,9,Nageshwar Rajak,810,0.80%,Independent,Kumhrar,183
2005-Feb,10,Ram Ekbal Das,667,0.70%,Independent,Kumhrar,183
2005-Feb,11,Kailash Prasad,621,0.60%,Independent,Kumhrar,183
2005-Feb,12,Arvind Kumar,419,0.40%,Independent,Kumhrar,183
2005-Feb,1,Lovely Anand,26014,28.10%,Janata Dal (United),Patna Sahib,184
2005-Feb,2,Yogendra Prasad Yadav,18602,20.10%,Independent,Patna Sahib,184
2005-Feb,3,Sheela Devi,15656,16.90%,Independent,Patna Sahib,184
2005-Feb,4,Subhash Chandra Singh,9104,9.80%,Rashtriya Janata Dal,Patna Sahib,184
2005-Feb,5,Vijayanand Paswan Shastri,5479,5.90%,Jharkhand Mukti Morcha,Patna Sahib,184
2005-Feb,6,Mahesh Prasad Singh,5293,5.70%,Bahujan Samaj Party,Patna Sahib,184
2005-Feb,7,Umakant Singh,3863,4.20%,Indian National Congress,Patna Sahib,184
2005-Feb,8,Surendra Prasad,1912,2.10%,Independent,Patna Sahib,184
2005-Feb,9,Satyendra Kumar Singh,1454,1.60%,Independent,Patna Sahib,184
2005-Feb,10,Ravishankar Singh Jahanavi,1047,1.10%,Samajwadi Party,Patna Sahib,184
2005-Feb,11,Munna Singh,996,1.10%,Independent,Patna Sahib,184
2005-Feb,12,Pradeep Paswan,826,0.90%,Independent,Patna Sahib,184
2005-Feb,13,Surendra Prasad Singh,796,0.90%,Shiv Sena,Patna Sahib,184
2005-Feb,14,Ranjeet Kumar,558,0.60%,Independent,Patna Sahib,184
2005-Feb,15,Raghuvansh Singh,510,0.60%,Independent,Patna Sahib,184
2005-Feb,16,Jay Kumar,382,0.40%,Independent,Patna Sahib,184
2005-Feb,1,Anirudh Kumar,33828,38.00%,Rashtriya Janata Dal,Fatuha,185
2005-Feb,2,Binod Yadav,28684,32.20%,Bharatiya Janta Party,Fatuha,185
2005-Feb,3,Rajan Kumar Yadav,10396,11.70%,Indian National Congress,Fatuha,185
2005-Feb,4,Vijendra Singh,3336,3.70%,Bahujan Samaj Party,Fatuha,185
2005-Feb,5,Brijnandan Yadav,2814,3.20%,Independent,Fatuha,185
2005-Feb,6,Ajay Kumar,2758,3.10%,Samajwadi Party,Fatuha,185
2005-Feb,7,Pintu Singh,2065,2.30%,Independent,Fatuha,185
2005-Feb,8,Sarojbala Devi,1887,2.10%,Independent,Fatuha,185
2005-Feb,9,Yogendra Singh,957,1.10%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Fatuha,185
2005-Feb,10,Dayanand Paswan,657,0.70%,Independent,Fatuha,185
2005-Feb,11,Pramod Kumar Nirala,583,0.70%,Independent,Fatuha,185
2005-Feb,12,Mahesh Prasad Singh,473,0.50%,Lok Dal,Fatuha,185
2005-Feb,13,Keshari Kishore Singh,336,0.40%,Independent,Fatuha,185
2005-Feb,14,Kunal Singh,325,0.40%,Shiv Sena,Fatuha,185
2005-Feb,1,Saryug Paswan,38373,42.10%,Janata Dal (United),Danapur,186
2005-Feb,2,Dwarika Paswan,28221,31.00%,Rashtriya Janata Dal,Danapur,186
2005-Feb,3,Shiv Shankar Manjhi,12789,14.00%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Danapur,186
2005-Feb,4,Sakaldip Paswan,4137,4.50%,Lok Jan Shakti Party,Danapur,186
2005-Feb,5,Nirmala Devi,3062,3.40%,Bahujan Samaj Party,Danapur,186
2005-Feb,6,Dhirendra Kumar Paswan,1702,1.90%,Independent,Danapur,186
2005-Feb,7,Deo Sharan Manjhi,1479,1.60%,Indian Justice Party,Danapur,186
2005-Feb,8,Deepak Babu Chamar,715,0.80%,Independent,Danapur,186
2005-Feb,9,Fulkit Hazra,624,0.70%,Samajwadi Party,Danapur,186
2005-Feb,1,Punam Devi,36219,33.00%,Janata Dal (United),Maner,187
2005-Feb,2,Raj Kishore Prasad,21232,19.40%,Independent,Maner,187
2005-Feb,3,Dharmendra Prasad,16587,15.10%,Rashtriya Janata Dal,Maner,187
2005-Feb,4,Shashi Yadav,14446,13.20%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Maner,187
2005-Feb,5,Vijay Prasad,6349,5.80%,Lok Jan Shakti Party,Maner,187
2005-Feb,6,Amar Nath Gupta,5717,5.20%,Bahujan Samaj Party,Maner,187
2005-Feb,7,Lakshmi Narayan Gupta Alias Lakshi Sao,1996,1.80%,Independent,Maner,187
2005-Feb,8,Surendra Chaudhary,1714,1.60%,Rashtriya Swabhimaan Party,Maner,187
2005-Feb,9,Madan Kumar Pal,1153,1.10%,Independent,Maner,187
2005-Feb,10,Dhaneshwar Thakur,748,0.70%,Indian Justice Party,Maner,187
2005-Feb,11,Jay Narayan Singh,736,0.70%,Adarsh Political Party,Maner,187
2005-Feb,12,Arun Kumar Sharma,694,0.60%,Independent,Maner,187
2005-Feb,13,Rameshwar Prasad Singh,543,0.50%,Apna Dal,Maner,187
2005-Feb,14,Ashutosh Kumar,529,0.50%,Independent,Maner,187
2005-Feb,15,Rajeev Ranjan Yadav,506,0.50%,Samata Party,Maner,187
2005-Feb,16,Suresh Prasad,500,0.50%,Rashtriya Lok Seva Morcha,Maner,187
2005-Feb,1,Navin Kishore Pd. Sinha,103462,59.10%,Bharatiya Janta Party,Phulwari (SC),188
2005-Feb,2,Ram Ishwar Prasad Alias Sadhu Gope,30953,17.70%,Rashtriya Janata Dal,Phulwari (SC),188
2005-Feb,3,Panday Sumant Kumar,23484,13.40%,Indian National Congress,Phulwari (SC),188
2005-Feb,4,Mithlesh Kumar,1854,1.10%,Indian Justice Party,Phulwari (SC),188
2005-Feb,5,Umesh Kumar Srivastva,1620,0.90%,Bahujan Samaj Party,Phulwari (SC),188
2005-Feb,6,Santosh Kumar,1482,0.90%,Independent,Phulwari (SC),188
2005-Feb,7,P. K. Sinha,1260,0.70%,Samata Party,Phulwari (SC),188
2005-Feb,8,Anita Kumari,1120,0.60%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Phulwari (SC),188
2005-Feb,9,Mukesh Kumar,886,0.50%,Independent,Phulwari (SC),188
2005-Feb,10,Ashok Prasad,749,0.40%,Independent,Phulwari (SC),188
2005-Feb,11,Dr. Arvind Kumar,742,0.40%,Nationalist Congress Party,Phulwari (SC),188
2005-Feb,12,Sunil Kumar (EAST PATEL NAGAR),626,0.40%,Independent,Phulwari (SC),188
2005-Feb,13,Subhash Chander Yadav,550,0.30%,Samajwadi Party,Phulwari (SC),188
2005-Feb,14,Md. Wahid,497,0.30%,Independent,Phulwari (SC),188
2005-Feb,15,Ramanand Sinha,478,0.30%,Janhit Samaj Party,Phulwari (SC),188
2005-Feb,16,Basant Kumar Choudhary,449,0.30%,Independent,Phulwari (SC),188
2005-Feb,17,Vishnu Paswan,440,0.30%,Rashtriya Lok Dal,Phulwari (SC),188
2005-Feb,18,Beni Madhav Singh,439,0.30%,Independent,Phulwari (SC),188
2005-Feb,19,Sunil Kumar (KAUSHAL NGAR),338,0.20%,Independent,Phulwari (SC),188
2005-Feb,20,Om Prakash Sinha,312,0.20%,Independent,Phulwari (SC),188
2005-Feb,21,Kala Kishore Prasad,298,0.20%,Jai Jawan Jai Kisan Mazdoor Congress,Phulwari (SC),188
2005-Feb,22,Surendra Kumar Upadhaya,295,0.20%,Independent,Phulwari (SC),188
2005-Feb,23,Mohan Yadav,287,0.20%,Independent,Phulwari (SC),188
2005-Feb,24,Kiran Devi,267,0.20%,Rashtriya Swabhimaan Party,Phulwari (SC),188
2005-Feb,25,Sanjay Kumar Pandey,260,0.20%,Shiv Sena,Phulwari (SC),188
2005-Feb,26,Chanda Parveen,259,0.20%,Independent,Phulwari (SC),188
2005-Feb,27,Arun Singh,249,0.10%,Independent,Phulwari (SC),188
2005-Feb,27,Ashok Singh Patel,249,0.10%,Rashtravadi Janata Party,Phulwari (SC),188
2005-Feb,29,Ramjit Singh,248,0.10%,Apna Dal,Phulwari (SC),188
2005-Feb,30,Ram Kumar Mishra,238,0.10%,Independent,Phulwari (SC),188
2005-Feb,31,Mahendra Choudhary,213,0.10%,Independent,Phulwari (SC),188
2005-Feb,32,Shravan Kumar Sharma,208,0.10%,Independent,Phulwari (SC),188
2005-Feb,33,Lakhi Ram Ishwar Prasad,186,0.10%,Lok Dal,Phulwari (SC),188
2005-Feb,1,Arun Kumar Sinha,77536,55.90%,Bharatiya Janta Party,Masaurhi (SC),189
2005-Feb,2,Ram Jatan Sinha,26219,18.90%,Indian National Congress,Masaurhi (SC),189
2005-Feb,3,Aquil Haider,25027,18.10%,Nationalist Congress Party,Masaurhi (SC),189
2005-Feb,4,Jitendra Kumar Ambhstha,937,0.70%,Bahujan Samaj Party,Masaurhi (SC),189
2005-Feb,5,Amit Kumar Albela,928,0.70%,Independent,Masaurhi (SC),189
2005-Feb,6,Tota Choudhary,835,0.60%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Masaurhi (SC),189
2005-Feb,7,Nirmal Kumar,779,0.60%,Independent,Masaurhi (SC),189
2005-Feb,8,Lalan Kumar,690,0.50%,Independent,Masaurhi (SC),189
2005-Feb,9,Usha Devi,684,0.50%,Samajwadi Party,Masaurhi (SC),189
2005-Feb,10,Nirmal Chandra,629,0.50%,Independent,Masaurhi (SC),189
2005-Feb,11,Risikesh Narayan Sinha,571,0.40%,Rashtravadi Janata Party,Masaurhi (SC),189
2005-Feb,12,Shankar Prasad,528,0.40%,Independent,Masaurhi (SC),189
2005-Feb,13,Deo Swarup Pandey,428,0.30%,Shiv Sena,Masaurhi (SC),189
2005-Feb,14,Fazal Ahsan,391,0.30%,Independent,Masaurhi (SC),189
2005-Feb,15,Manoj Kumar Singh,326,0.20%,Independent,Masaurhi (SC),189
2005-Feb,16,Indra Mohan Kumar,282,0.20%,Independent,Masaurhi (SC),189
2005-Feb,17,Vikash Chandra Guddu Baba,215,0.20%,Independent,Masaurhi (SC),189
2005-Feb,18,Nagarmal Vajoria Dharti Pakar,209,0.20%,Akhil Bharat Hindu Mahasabha,Masaurhi (SC),189
2005-Feb,19,Vijay Kumar,204,0.20%,Independent,Masaurhi (SC),189
2005-Feb,20,Hasan Manzur Hashmi,189,0.10%,National Loktantrik Party,Masaurhi (SC),189
2005-Feb,21,Maya Verma,181,0.10%,Rashtriya Lok Seva Morcha,Masaurhi (SC),189
2005-Feb,22,Manoj Kumar Rampur (MUSALLAHAPUR HAT),180,0.10%,Independent,Masaurhi (SC),189
2005-Feb,23,Sarswati Sharma,179,0.10%,Rashtriya Lok Dal,Masaurhi (SC),189
2005-Feb,24,Anjani Kumar,171,0.10%,Independent,Masaurhi (SC),189
2005-Feb,25,Lallu Singh,148,0.10%,Independent,Masaurhi (SC),189
2005-Feb,26,Ram Babu Kumar Sankrity,98,0.10%,Independent,Masaurhi (SC),189
2005-Feb,26,Manoj Kumar (EAST LOHANIPUR),98,0.10%,Independent,Masaurhi (SC),189
2005-Feb,1,Nand Kishor Yadav,62746,51.80%,Bharatiya Janta Party,Paliganj,190
2005-Feb,2,Anil Kumar Yadav,29993,24.80%,Rashtriya Janata Dal,Paliganj,190
2005-Feb,3,Parvez Ahmad,17466,14.40%,Indian National Congress,Paliganj,190
2005-Feb,4,Umesh Singh,1562,1.30%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Paliganj,190
2005-Feb,5,Waliram Vishwakarma,1446,1.20%,Independent,Paliganj,190
2005-Feb,6,Niranjan Sah,1053,0.90%,Independent,Paliganj,190
2005-Feb,7,Pradeep Mehta,1036,0.90%,Samajwadi Party,Paliganj,190
2005-Feb,8,Ganga Dayal Singh,989,0.80%,Bahujan Samaj Party,Paliganj,190
2005-Feb,9,Lakshmi Kumar Thakur,763,0.60%,Samajwadi Janata Party (RASHTRIYA),Paliganj,190
2005-Feb,10,Suresh Kumar,742,0.60%,Independent,Paliganj,190
2005-Feb,11,Rajendra Pasad Karna,727,0.60%,Independent,Paliganj,190
2005-Feb,12,Binod Kumar,663,0.60%,Independent,Paliganj,190
2005-Feb,13,Manoj Yadav,408,0.30%,Independent,Paliganj,190
2005-Feb,14,Shrikant Singh,337,0.30%,Akhil Bharatiya Jan Sangh,Paliganj,190
2005-Feb,15,Rajan Kumar Sinha,267,0.20%,Samata Party,Paliganj,190
2005-Feb,16,Usha Avtar,263,0.20%,Independent,Paliganj,190
2005-Feb,17,Ajay Kumar Azad,262,0.20%,Independent,Paliganj,190
2005-Feb,18,Md. Murshid Ali,246,0.20%,National Loktantrik Party,Paliganj,190
2005-Feb,19,Virendra Maharaj,152,0.10%,Independent,Paliganj,190
2005-Feb,1,Asha Devi,40354,40.60%,Bharatiya Janta Party,Bikram,191
2005-Feb,2,Dr. Ramanand Yadav,32690,32.90%,Rashtriya Janata Dal,Bikram,191
2005-Feb,3,Suresh Rai,16582,16.70%,Lok Jan Shakti Party,Bikram,191
2005-Feb,4,Ram Jee Rai,2895,2.90%,Bahujan Samaj Party,Bikram,191
2005-Feb,5,Rajesh Kumar,1674,1.70%,Independent,Bikram,191
2005-Feb,6,Manoj Kumar,1518,1.50%,Independent,Bikram,191
2005-Feb,7,Kalawati Devi,966,1.00%,Jawan Kisan Morcha,Bikram,191
2005-Feb,8,Rakesh Kumar,885,0.90%,Samajwadi Party,Bikram,191
2005-Feb,9,Mahanand Rai,794,0.80%,Independent,Bikram,191
2005-Feb,10,Raju Kumar,507,0.50%,Independent,Bikram,191
2005-Feb,11,Kaleshwari Devi,498,0.50%,Apna Dal,Bikram,191
2005-Feb,1,Srikant Nirala,37911,37.50%,Rashtriya Janata Dal,Sandesh,192
2005-Feb,2,Sacchidanand Rai,29517,29.20%,Janata Dal (United),Sandesh,192
2005-Feb,3,Sunil Kumar Sinha,8746,8.70%,Indian National Congress,Sandesh,192
2005-Feb,4,Pappu Singh,5676,5.60%,Samajwadi Party,Sandesh,192
2005-Feb,5,Kameshwar Kumar,4321,4.30%,Lok Jan Shakti Party,Sandesh,192
2005-Feb,6,Birendra Prasad Singh,2493,2.50%,Independent,Sandesh,192
2005-Feb,7,Kumar Virendra Yadav,1993,2.00%,Bahujan Samaj Party,Sandesh,192
2005-Feb,8,Raja Babu,1929,1.90%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Sandesh,192
2005-Feb,9,Rana Pratap Singh,1677,1.70%,Independent,Sandesh,192
2005-Feb,10,Narendra Kumar,1365,1.40%,Shoshit Samaj Party,Sandesh,192
2005-Feb,11,Umakant Choudhary,910,0.90%,Rashtriya Swabhimaan Party,Sandesh,192
2005-Feb,12,",ram Prit Singh Yadav",783,0.80%,Independent,Sandesh,192
2005-Feb,13,Dinesh Kumar Singh,754,0.80%,Independent,Sandesh,192
2005-Feb,14,Surendra Ram,652,0.70%,Independent,Sandesh,192
2005-Feb,15,Saryu Prasad,636,0.60%,Independent,Sandesh,192
2005-Feb,16,Kamal Kant,607,0.60%,Independent,Sandesh,192
2005-Feb,17,Deonand Rai,490,0.50%,Independent,Sandesh,192
2005-Feb,18,Balmiki Singh,299,0.30%,Apna Dal,Sandesh,192
2005-Feb,19,Sharma Ram,249,0.30%,Independent,Sandesh,192
2005-Feb,1,Shyam Rajak,56009,42.60%,Rashtriya Janata Dal,Barhara,193
2005-Feb,2,Uday Kumar,39143,29.80%,Janata Dal (United),Barhara,193
2005-Feb,3,Ambika Prasad,15635,11.90%,Lok Jan Shakti Party,Barhara,193
2005-Feb,4,Vidyanand Vikal,8563,6.50%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Barhara,193
2005-Feb,5,Suresh Prasad Ram,2932,2.20%,Bahujan Samaj Party,Barhara,193
2005-Feb,6,Lalan Mochi Alias Lalan Das,1893,1.40%,Independent,Barhara,193
2005-Feb,7,Anup Paswan,1630,1.20%,Rashtravadi Janata Party,Barhara,193
2005-Feb,8,Ram Chandara Ram,1006,0.80%,Samata Party,Barhara,193
2005-Feb,9,Rajdeo Das,914,0.70%,Independent,Barhara,193
2005-Feb,10,Gayatri Devi,845,0.60%,Janhit Samaj Party,Barhara,193
2005-Feb,11,Ram Babu Ravidas,807,0.60%,Independent,Barhara,193
2005-Feb,12,Dinanath Choudhry,468,0.40%,Indian Justice Party,Barhara,193
2005-Feb,13,Vishw Nath Rajak,440,0.30%,Apna Dal,Barhara,193
2005-Feb,14,Vinod Ravidas,424,0.30%,Akhil Bharatiya Jan Sangh,Barhara,193
2005-Feb,14,Sandeep Kumar,424,0.30%,All India Forward Bloc,Barhara,193
2005-Feb,16,Dinesh Rajak,326,0.30%,Akhil Bharatiya Desh Bhakt Morcha,Barhara,193
2005-Feb,1,Anil Kumar,46150,42.00%,Lok Jan Shakti Party,Arrah,194
2005-Feb,2,Chandrama Singh Yadav,35859,32.60%,Rashtriya Janata Dal,Arrah,194
2005-Feb,3,Ram Janm Sharma,12725,11.60%,Bharatiya Janta Party,Arrah,194
2005-Feb,4,Mantu Kumar,3660,3.30%,Bahujan Samaj Party,Arrah,194
2005-Feb,5,Kusum Devi,2317,2.10%,Rashtriya Samanta Dal,Arrah,194
2005-Feb,6,Ram Nath Yadav,2004,1.80%,Communist Party Of India,Arrah,194
2005-Feb,7,Chandra Prakash Singh,1492,1.40%,Indian National Congress,Arrah,194
2005-Feb,8,Nagesar Paswan,1376,1.30%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Arrah,194
2005-Feb,9,Sudhir Kumar,1032,0.90%,Independent,Arrah,194
2005-Feb,10,Jitendra Kumar,808,0.70%,Independent,Arrah,194
2005-Feb,11,Ram Sujan Choudhary,696,0.60%,Independent,Arrah,194
2005-Feb,12,Baijnath Sharma,436,0.40%,Independent,Arrah,194
2005-Feb,13,Stayander Kumar,404,0.40%,Akhil Bharatiya Jan Sangh,Arrah,194
2005-Feb,14,Vijay Kumar,358,0.30%,Jawan Kisan Morcha,Arrah,194
2005-Feb,15,Ramesh Kumar,333,0.30%,Independent,Arrah,194
2005-Feb,16,Damyanti Devi,326,0.30%,Independent,Arrah,194
2005-Feb,1,Nand Kumar Nanda,22389,21.80%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Agiaon (SC),195
2005-Feb,2,Dinanath Singh Yadav,19115,18.60%,Rashtriya Janata Dal,Agiaon (SC),195
2005-Feb,3,Dr. Usha Vidyarthi,18435,18.00%,Bharatiya Janta Party,Agiaon (SC),195
2005-Feb,4,Jay Vardhan Yadav,13075,12.70%,Independent,Agiaon (SC),195
2005-Feb,5,Sanjay Kumar,8126,7.90%,Lok Jan Shakti Party,Agiaon (SC),195
2005-Feb,6,Akbar,3564,3.50%,Independent,Agiaon (SC),195
2005-Feb,7,Vijaya Narayan Singh,2693,2.60%,Bahujan Samaj Party,Agiaon (SC),195
2005-Feb,8,Arun Kumar,2104,2.10%,Independent,Agiaon (SC),195
2005-Feb,9,Kamal Nayan,1723,1.70%,Independent,Agiaon (SC),195
2005-Feb,10,Asha Sharma,1647,1.60%,Independent,Agiaon (SC),195
2005-Feb,11,Suresh Singh,1196,1.20%,Independent,Agiaon (SC),195
2005-Feb,12,Sanjay Kumar (AROPUR),1038,1.00%,Independent,Agiaon (SC),195
2005-Feb,13,Sabja Sharma Anju,984,1.00%,Independent,Agiaon (SC),195
2005-Feb,14,Kusendu Kumar,821,0.80%,Independent,Agiaon (SC),195
2005-Feb,15,Dev Bihari Pathak,705,0.70%,Sanatan Samaj Party,Agiaon (SC),195
2005-Feb,16,Pintu Sharma,652,0.60%,Rashtriya Lok Dal,Agiaon (SC),195
2005-Feb,17,Ramshish Mochi,650,0.60%,Independent,Agiaon (SC),195
2005-Feb,18,Avinash Kumar,604,0.60%,Independent,Agiaon (SC),195
2005-Feb,19,Abhishek Kumar,585,0.60%,Independent,Agiaon (SC),195
2005-Feb,20,Sant Kumar Singh,565,0.60%,Shoshit Samaj Party,Agiaon (SC),195
2005-Feb,21,Ram Shankar Prasad,513,0.50%,Samajwadi Party,Agiaon (SC),195
2005-Feb,22,Paras Nath Singh,414,0.40%,Independent,Agiaon (SC),195
2005-Feb,23,Umesh Sharma,345,0.30%,Independent,Agiaon (SC),195
2005-Feb,24,Shiv Kumar Paswan,278,0.30%,Independent,Agiaon (SC),195
2005-Feb,25,Sanjay Kumar Panal,237,0.20%,Independent,Agiaon (SC),195
2005-Feb,26,Ram Bihari Tiwari,158,0.20%,Independent,Agiaon (SC),195
2005-Feb,1,Rameshwar Prasad,33834,32.70%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Tarari,196
2005-Feb,2,Vijendra Kumar Yadav,31071,30.10%,Rashtriya Janata Dal,Tarari,196
2005-Feb,3,Anil Samrat,16134,15.60%,Independent,Tarari,196
2005-Feb,4,Kamla Prasad Singh,10258,9.90%,Bharatiya Janta Party,Tarari,196
2005-Feb,5,Shivjee Singh,4524,4.40%,Lok Jan Shakti Party,Tarari,196
2005-Feb,6,Anil Kumar Tiwari,1515,1.50%,Bahujan Samaj Party,Tarari,196
2005-Feb,7,Virendra Kumar Panday,1475,1.40%,Independent,Tarari,196
2005-Feb,8,Sita Ram Singh,1189,1.20%,Independent,Tarari,196
2005-Feb,9,Vijay Yadav,883,0.90%,Independent,Tarari,196
2005-Feb,10,Satyendra Singh,681,0.70%,Independent,Tarari,196
2005-Feb,11,Dileep Singh,666,0.60%,Akhil Bharatiya Jan Sangh,Tarari,196
2005-Feb,12,Mamta Kuwar,581,0.60%,Jawan Kisan Morcha,Tarari,196
2005-Feb,13,Jhulan Singh,564,0.60%,Independent,Tarari,196
2005-Feb,1,Asha Devi,34010,32.50%,Janata Dal (United),Jagdishpur,197
2005-Feb,2,Raghvendra Pratap Singh,29919,28.60%,Rashtriya Janata Dal,Jagdishpur,197
2005-Feb,3,Hakim Prasad,18191,17.40%,Independent,Jagdishpur,197
2005-Feb,4,Ram Sakal Singh Yadav,7083,6.80%,Independent,Jagdishpur,197
2005-Feb,5,Letaphat Husen,5465,5.20%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Jagdishpur,197
2005-Feb,6,Dr. Siyamati Roy,2151,2.10%,Independent,Jagdishpur,197
2005-Feb,7,Saryau Yadav,2093,2.00%,Lok Jan Shakti Party,Jagdishpur,197
2005-Feb,8,Pasupati Singh,1496,1.40%,Independent,Jagdishpur,197
2005-Feb,9,Kameshwar Singh,1020,1.00%,Bahujan Samaj Party,Jagdishpur,197
2005-Feb,10,Kamlesh Kumar Singh,620,0.60%,Independent,Jagdishpur,197
2005-Feb,11,Raj Narayan Singh,587,0.60%,Independent,Jagdishpur,197
2005-Feb,12,Vijay Nand Kumar Ram,577,0.60%,Independent,Jagdishpur,197
2005-Feb,13,Rana Ranjit Singh,505,0.50%,Akhil Bharatiya Jan Sangh,Jagdishpur,197
2005-Feb,14,Vijay Kumar Singh,393,0.40%,Independent,Jagdishpur,197
2005-Feb,15,Ramadhar Singh,304,0.30%,Jawan Kisan Morcha,Jagdishpur,197
2005-Feb,16,Nirmal Singh,246,0.20%,Independent,Jagdishpur,197
2005-Feb,1,Amrendra Pratap Singh,42761,37.60%,Bharatiya Janta Party,Shahpur,198
2005-Feb,2,D. Nawaj Alam,28514,25.00%,Rashtriya Janata Dal,Shahpur,198
2005-Feb,3,Sudama Prasad,22773,20.00%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Shahpur,198
2005-Feb,4,Satendra Narayan Singh,8505,7.50%,Indian National Congress,Shahpur,198
2005-Feb,5,Abdul Mallic,2979,2.60%,Independent,Shahpur,198
2005-Feb,6,Treta Sawaliya Singh,1559,1.40%,Bahujan Samaj Party,Shahpur,198
2005-Feb,7,Surendra Ram,1145,1.00%,Independent,Shahpur,198
